Case ID,JiraId,Tags,Primary tag,Case,Issue2 Incomplete procedure,Issue3 Role/cross-app,Issue4 Unclear Expected/screens,Other-issue count,Clean of issues 2-4,Agent category tag?,Steps chars,Step count,Expected chars,Has login wording,Has hover wording,CSV field count,Gold closeness,Depth % of gold median
336592,CP-5840,"banyan,customerportal,hazmat,ltl",banyan,TC01: Hazmat fields populate from saved commodity on brand portal,Y,N,N,1,N,Y,190,4,222,N,N,2,14.4,5.1
262087,FD-43175,handlingunit,handlingunit,Verify that invalid Tare Wt values prevent save with a visible error,Y,N,N,1,N,N,256,1,124,N,N,2,14.2,6.9
196323,FD-37616,user_role,user_role,Validate that pick state change is blocked for ineligible intrastate carrier and user lacks CARRIER_RELATIONS role,Y,Y,N,2,N,N,72,0,35,Y,N,0,14.0,1.9
196324,FD-37616,user_role,user_role,Validate that drop state change is blocked for ineligible intrastate carrier and user lacks CARRIER_RELATIONS role,Y,Y,N,2,N,N,72,0,35,Y,N,0,14.0,1.9
154562,FD-41137,emaildocsforload,emaildocsforload,For Intermodal Loads for every carrier the email should appear accordingly.,Y,N,N,1,N,N,185,1,69,Y,N,0,13.9,5.0
196325,FD-37616,user_role,user_role,Validate that pick state change is allowed for eligible intrastate carrier and user lacks CARRIER_RELATIONS role,Y,Y,N,2,N,N,68,0,23,Y,N,0,13.8,1.8
196329,FD-37616,user_role,user_role,Validate that no intrastate validation is performed for non-intrastate carrier,Y,N,N,1,N,N,40,0,37,Y,N,0,13.8,1.1
196327,FD-37616,user_role,user_role,Validate that user with CARRIER_RELATIONS role can update pick state to any state,Y,Y,N,2,N,N,45,0,23,Y,N,0,13.6,1.2
262035,FD-43491,"dat,officesearch",dat,Verify that Load Board Tel field no longer displayed on Agent form - View mode.,Y,N,N,1,N,Y,134,1,60,Y,N,0,13.4,3.6
366471,FD-45183,"banyan,hazmat",banyan,Hazmat charges persist after selecting new carrier and booking/updating,Y,N,N,1,N,Y,98,2,104,N,N,1,13.1,2.7
262088,FD-43175,handlingunit,handlingunit,Verify delete confirmation dialog lists linked item numbers,Y,N,N,1,N,N,142,1,100,N,N,2,13.0,3.8
27581,FD-34991,sso,sso,Verify login page hides username/password fields when config flag is enabled,Y,N,N,1,N,N,51,1,67,Y,N,0,12.9,1.4
171166,FD-35518,loadreports,loadreports,Verify sorting functionality,Y,N,N,1,N,N,161,5,85,N,N,0,12.8,4.4
171293,FD-36298,quotes,quotes,Verify Cust/Lead and Working filters together,Y,N,N,1,N,N,73,1,43,Y,N,0,12.8,2.0
27586,FD-34991,"sso,symfony",sso,Verify login page shows username/password fields when config flag is disabled,Y,N,N,1,N,N,51,1,52,Y,N,0,12.7,1.4
366497,FD-35902,"customers,leads",customers,Verify CLEARED status option is available for user with Finance+ auth and CREDIT_MANAGER role on ACTIVATE lead,Y,Y,N,2,N,N,276,4,132,N,N,0,12.6,7.5
171167,FD-35518,loadreports,loadreports,Verify Excel export includes Approved Date,Y,N,N,1,N,N,144,5,61,N,N,0,12.3,3.9
262089,FD-43175,handlingunit,handlingunit,Verify confirmed delete removes HU row and sets linked items' handling_unit_id to NULL,Y,N,N,1,N,N,224,0,120,N,N,2,12.3,6.1
